label,train,validation,test
Refund_not_showing_up,138,24,40
activate_my_card,135,24,40
age_limit,93,17,40
apple_pay_or_google_pay,107,19,40
atm_support,72,13,40
automatic_top_up,108,19,40
balance_not_updated_after_bank_transfer,145,26,40
balance_not_updated_after_cheque_or_cash_deposit,154,27,40
beneficiary_not_allowed,133,23,40
cancel_transfer,133,24,40
card_about_to_expire,110,19,40
card_acceptance,48,9,40
card_arrival,130,23,40
card_delivery_estimate,95,17,40
card_linking,118,21,40
card_not_working,94,17,40
card_payment_fee_charged,159,28,40
card_payment_not_recognised,143,25,40
card_payment_wrong_exchange_rate,142,25,40
card_swallowed,52,9,40
cash_withdrawal_charge,150,27,40
cash_withdrawal_not_recognised,136,24,40
change_pin,102,18,40
compromised_card,72,13,40
contactless_not_working,30,5,40
country_support,109,19,40
declined_card_payment,130,23,40
declined_cash_withdrawal,147,26,40
declined_transfer,113,20,40
direct_debit_payment_not_recognised,155,27,40
disposable_card_limits,103,18,40
edit_personal_details,103,18,40
exchange_charge,103,18,40
exchange_rate,95,17,40
exchange_via_app,100,18,40
extra_charge_on_statement,141,25,40
failed_transfer,116,21,40
fiat_currency_support,107,19,40
get_disposable_virtual_card,82,15,40
get_physical_card,90,16,40
getting_spare_card,110,19,40
getting_virtual_card,83,15,40
lost_or_stolen_card,70,12,40
lost_or_stolen_phone,103,18,40
order_physical_card,102,18,40
passcode_forgotten,89,16,40
pending_card_payment,135,24,40
pending_cash_withdrawal,122,21,40
pending_top_up,127,22,40
pending_transfer,126,22,40
pin_blocked,96,17,40
receiving_money,81,14,40
request_refund,144,25,40
reverted_card_payment?,137,24,40
supported_cards_and_currencies,110,19,40
terminate_account,92,16,40
top_up_by_bank_transfer_charge,94,17,40
top_up_by_card_charge,97,17,40
top_up_by_cash_or_cheque,97,17,40
top_up_failed,123,22,40
top_up_limits,82,15,40
top_up_reverted,124,22,40
topping_up_by_card,88,15,40
transaction_charged_twice,149,26,40
transfer_fee_charged,146,26,40
transfer_into_account,96,17,40
transfer_not_received_by_recipient,145,26,40
transfer_timing,109,19,40
unable_to_verify_identity,87,15,40
verify_my_identity,88,16,40
verify_source_of_funds,96,17,40
verify_top_up,107,19,40
virtual_card_not_working,35,6,40
visa_or_mastercard,115,20,40
why_verify_identity,103,18,40
wrong_amount_of_cash_received,153,27,40
wrong_exchange_rate_for_cash_withdrawal,139,24,40
